ID	类型	是否忽略navmesh	LevelEntityConfig	entity排序	指定角色列表	指定角色上限	保底拉回ScenePoint
1001	2						
1002	1						
1003	1						
1004	3	1					
1005	3		Level_Sneak		10000005,10000007	1	
1006	2						
1008	3						
1009	3						
1011	2						
1013	3		Level_Sneak		10000005,10000007	1	
1015	2		Level_Sneak		10000005,10000007	1	
1016	2						
1017	2						
1018	3						
1019	2						
1023	3						
1024	2						
1030	1		Level_Sneak			1	
1031	2						
1032	2		LevelEntity_Quest_XiaoDungeon				
1033	3						
1034	3						
1035	3						
1050	2						
1051	2						
1052	2						
1053	2						
1054	2						
1055	2						
1056	2						
1057	3	1					
1058	2						
1059	2						
2001	4						
2002	4						
2003	4						
2201	5						
2202	5						
1	1		Level_BigWorld				
2	1		Level_BigWorld				
3	1		Level_BigWorld				15
4	1		Level_BigWorld				1
20000	2						
20005	2						
20006	2						
20007	2						
20008	2						
20009	2						
20010	2						
20011	2						
20012	2						
20013	2						
20014	2						
20015	2						
20016	2						
20017	2		Level_Dvalin_S01	1	10000005,10000007	1	
20018	2		Level_Dvalin_S04	1			
20019	2						
20020	2		Level_Dvalin_S00	1	10000005,10000007	1	
20022	2						
20023	2						
20024	2						
20025	2		Level_Dvalin_S04_Recycle	1			
20026	2						
20027	2						
20028	2						
20031	2						
20032	2						
20034	2		Level_Tartaglia				
20035	2						
20036	2						
20037	2						
20101	2		Level_Tartaglia				
20102	2						
20103	2						
20104	2						
20105	2						
20106	2		Level_Dahaka_CameraSetting				
20107	2		Level_Dahaka_CameraSetting				
20108	2		Level_Dahaka_CameraSetting				
20109	2		Level_Dahaka_CameraSetting				
20110	2		Level_Dahaka_CameraSetting				
30001	2						
30100	2						
30101	2						
30102	2						
30103	2						
30104	2						
30200	2						
30201	2						
30202	2						
30203	2						
30204	2						
30300	2						
30301	2						
30302	2						
30303	2						
30304	2						
30400	2						
30401	2						
30402	2						
30403	2						
30404	2						
30500	2						
30501	2						
30502	2						
30503	2						
30504	2						
30600	2						
30601	2						
30602	2						
30603	2						
30604	2						
30700	2						
30701	2						
30702	2						
30703	2						
30704	2						
30800	2						
30801	2						
30802	2						
30803	2						
30804	2						
30900	2						
30901	2						
30902	2						
30903	2						
30904	2						
31000	2						
31001	2						
31002	2						
31003	2						
31004	2						
31100	2						
31101	2						
31102	2						
31103	2						
31104	2						
31200	2						
31201	2						
31202	2						
31203	2						
31204	2						
31300	2						
31301	2						
31302	2						
31303	2						
