商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
102001	1001	223		1		160							1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	4	99	1			
102002	1001	224		1		160							1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	4	99	1			
102003	1001	223		1				221	5				1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	4	99	10			
102004	1001	224		1				221	5				1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	4	99	10			
102005	1001		10201	1				221	34			1	1	1		2020-10-01 04:00:01	2035-01-01 00:00:00						1	4	99	9			
102006	1001		10202	1				221	34			1	1	1		2020-10-01 04:00:01	2035-01-01 00:00:00						1	4	99	9			
102007	1001		10203	1				221	24			3	1	1		2020-10-01 04:00:01	2035-01-01 00:00:00						1	4	99	8			
102008	1001		10204	1				221	24			3	1	1		2020-10-01 04:00:01	2035-01-01 00:00:00						1	4	99	8			
102009	1001		10205	1				221	24			3	1	1		2020-10-01 04:00:01	2035-01-01 00:00:00						1	4	99	8			
102010	1001		10206	1				221	24			3	1	1		2020-10-01 04:00:01	2035-01-01 00:00:00						1	4	99	8			
102011	1001		10207	1				221	24			3	1	1		2020-10-01 04:00:01	2035-01-01 00:00:00						1	4	99	8			
102013	1001	112016		1				221	2			8	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	4			
102015	1001	112022		1				221	2			8	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	4			
102016	1001	112025		1				221	2			8	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	4			
102017	1001	112028		1				221	2			8	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	4			
102018	1001	112031		1				221	2			8	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	4			
102019	1001	112043		1				221	2			8	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	4			
102020	1001	112004		3				221	2			25	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	3			
102021	1001	112007		3				221	2			25	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	3			
102022	1001	112010		3				221	2			25	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	3			
102023	1001	112013		3				221	2			25	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	3			
102024	1001	112034		3				221	2			25	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	3			
102025	1001	112037		3				221	2			25	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	3			
102026	1001	112040		3				221	2			25	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	35	99	3			
102027	1001	1020		1				221	34			1	1	1		2019-12-01 00:00:00	2020-10-01 03:59:59						1	4	99	9			
102028	1001	1021		1				221	34			1	1	1		2019-12-01 00:00:00	2020-10-01 03:59:59						1	4	99	9			
102029	1001	11404		1				221	24			3	1	1		2019-12-01 00:00:00	2020-10-01 03:59:59						1	4	99	8			
102030	1001	12404		1				221	24			3	1	1		2019-12-01 00:00:00	2020-10-01 03:59:59						1	4	99	8			
102031	1001	13404		1				221	24			3	1	1		2019-12-01 00:00:00	2020-10-01 03:59:59						1	4	99	8			
102032	1001	14404		1				221	24			3	1	1		2019-12-01 00:00:00	2020-10-01 03:59:59						1	4	99	8			
102033	1001	15404		1				221	24			3	1	1		2019-12-01 00:00:00	2020-10-01 03:59:59						1	4	99	8			
102501	1001	223		1				222	75			5	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	4	99	10			
102502	1001	224		1				222	75			5	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	4	99	10			
102503	1001	104002		3				222	8			100	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	9			
102504	1001	104013		1				222	5			60	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	9			
102505	1001	202		10000				222	10			30	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	9			
102506	1001	202		10000				222	20				1	1		2019-12-01 00:00:00	2035-01-01 00:00:00		1	102505	102505		1	10	99	9			
102507	1001	112015		1				222	15			12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	25	99	8			
102509	1001	112021		1				222	15			12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	25	99	8			
102510	1001	112024		1				222	15			12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	25	99	8			
102511	1001	112027		1				222	15			12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	25	99	8			
102512	1001	112030		1				222	15			12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	25	99	8			
102513	1001	112042		1				222	15			12	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	25	99	8			
102514	1001	112003		1				222	5			35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	4			
102515	1001	112006		1				222	5			35	1	1		2019-12-01 00:00:00	2035-01-01 00:00:00						1	10	99	4			
