ID	第几天	阶段	[道具]1ID	[道具]1数量	[道具]2ID	[道具]2数量	[道具]3ID	[道具]3数量	[道具]4ID	[道具]4数量	[道具]5ID	[道具]5数量
1	1	1	201	1								
1	2	2	202	2								
1	3	3	202	2								
2	1	1	201	1								
2	2	2	201	1								
2	3	3	201	1								
1001	1	1	104002	5								
1001	2	1	104012	10								
1001	3	1	104003	3								
1001	4	1	201	50								
1001	5	1	104013	5								
1001	6	1	202	20000								
1001	7	1	224	2								
1002	1	1	104001	15								
1002	2	1	104012	15								
1002	3	1	104002	10								
1002	4	1	224	1								
1002	5	1	202	30000								
1002	6	1	104003	5								
1002	7	1	201	300								
10001	1	1	104002	5								
10001	2	1	104012	10								
10001	3	1	104003	3								
10001	4	1	201	50								
10001	5	1	104013	5								
10001	6	1	202	20000								
10001	7	1	224	2								
10002	1	1	104002	12								
10002	2	1	104012	24								
10002	3	1	201	100								
10002	4	1	104003	12								
10002	5	1	104013	24								
10002	6	1	202	50000								
10002	7	1	201	200								
10003	1	1	108032	5								
10003	2	1	104003	4								
10003	3	1	201	100								
10003	4	1	202	8000								
10003	5	1	104013	4								
10003	6	1	104003	8								
10003	7	1	201	200								
10004	1	1	104003	3								
10004	2	1	104013	6								
10004	3	1	201	100								
10004	4	1	202	50000								
10004	5	1	104003	5								
10004	6	1	104013	10								
10004	7	1	201	200								
10005	1	1	104002	10								
10005	2	1	104012	10								
10005	3	1	201	200								
10005	4	1	104003	6								
10005	5	1	104013	8								
10005	6	1	202	20000								
10005	7	1	201	300								
10006	1	1	104002	10								
10006	2	1	104012	20								
10006	3	1	201	200								
10006	4	1	104003	10								
10006	5	1	104013	10								
10006	6	1	202	50000								
10006	7	1	201	300								
10007	1	1	104002	10								
10007	2	1	104012	20								
10007	3	1	201	300								
10007	4	1	104003	10								
10007	5	1	104013	20								
10007	6	1	202	50000								
10007	7	1	201	500								
10008	1	1	104002	4								
10008	2	1	104012	8								
10008	3	1	202	5000								
10008	4	1	104003	4								
10008	5	1	104013	8								
10008	6	1	202	10000								
10008	7	1	201	100								
10009	1	1	104002	8								
10009	2	1	104012	16								
10009	3	1	201	50								
10009	4	1	104003	8								
10009	5	1	104013	16								
10009	6	1	202	30000								
10009	7	1	201	150								
10010	1	1	104003	3								
10010	2	1	104013	6								
10010	3	1	201	100								
10010	4	1	202	50000								
10010	5	1	104003	5								
10010	6	1	104013	10								
10010	7	1	201	200								
10011	1	1	223	1								
10011	2	1	202	80000								
10011	3	1	223	2								
10011	4	1	104013	18								
10011	5	1	223	2								
10011	6	1	104003	8								
10011	7	1	223	5								
10012	1	1	104003	3								
10012	2	1	115028	1								
10012	3	1	201	100								
10012	4	1	202	50000								
10012	5	1	104003	5								
10012	6	1	109448	1								
10012	7	1	201	200								
