ID	MaterialID	AbilityName	BuffCost	BuffQuality	Buff品质
1	200201	ACTIVITYABILITY_ENERGYDISK_PURPLE_FALLINGATTACK			4
2	200202	ACTIVITYABILITY_ENERGYDISK_BLUE_FLYADDFALLINGDAMAGE			3
3	200203	ACTIVITYABILITY_ENERGYDISK_BLUE_FALLINGATTACK_ADDWIND			3
4	200204	ACTIVITYABILITY_ENERGYDISK_GREEN_FALLINGDAMAGE_ADD			2
5	200205	ACTIVITYABILITY_ENERGYDISK_PURPLE_ONKILL_THUMPDAMAGEADD			4
6	200206	ACTIVITYABILITY_ENERGYDISK_BLUE_BOW_ATTACKGAINBUFF			3
7	200207	ACTIVITYABILITY_ENERGYDISK_BLUE_EXTRAATKKILL_ATTRACT			3
8	200208	ACTIVITYABILITY_ENERGYDISK_GREEN_THUMPDAMAGEUP			2
9	200209	ACTIVITYABILITY_ENERGYDISK_GREEN_THUMPCOSTDOWN			2
10	200210	ACTIVITYABILITY_ENERGYDISK_PURPLE_BERSERKER			4
11	200211	ACTIVITYABILITY_ENERGYDISK_BLUE_HASSHIELD_NORMALATKUP			3
12	200212	ACTIVITYABILITY_ENERGYDISK_BLUE_ELEMENTBURST_NORMALATKUP			3
13	200213	ACTIVITYABILITY_ENERGYDISK_GREEN_EXTRAATKUP			2
14	200214	ACTIVITYABILITY_ENERGYDISK_PURPLE_ELEMENTBURST_COUNT3WAVE			4
15	200215	ACTIVITYABILITY_ENERGYDISK_BLUE_NORMALATK_ENERGY			3
16	200216	ACTIVITYABILITY_ENERGYDISK_BLUE_GENERATEBALL_AFTERBURST			3
17	200217	ACTIVITYABILITY_ENERGYDISK_GREEN_BURSTDAMAGEUP			2
18	200218	ACTIVITYABILITY_ENERGYDISK_PURPLE_ELEMENTBURSTTRIGGERWAVE			4
19	200219	ACTIVITYABILITY_ENERGYDISK_BLUE_ADDELEMENTBURSTLEVEL			3
20	200220	ACTIVITYABILITY_ENERGYDISK_BLUE_GENERATEBALL_AFTERSKILL			3
21	200221	ACTIVITYABILITY_ENERGYDISK_GREEN_CHARGEEFFICIENCYDELTA			2
22	200222	ACTIVITYABILITY_ENERGYDISK_PURPLE_SHOCKTRIGGERTHUNDER			4
23	200223	ACTIVITYABILITY_ENERGYDISK_BLUE_ELEMENTBURST_ADDWATER			3
24	200224	ACTIVITYABILITY_ENERGYDISK_GREEN_ELEMMASTERYDELTAUP			2
25	200225	ACTIVITYABILITY_ENERGYDISK_PURPLE_SUPERCONDUCTOR_DAMAGE			4
26	200226	ACTIVITYABILITY_ENERGYDISK_BLUE_ICEANDFROZEN_ATKUP			3
27	200227	ACTIVITYABILITY_ENERGYDISK_GREEN_PHYSICALHURTUP			2
28	200228	ACTIVITYABILITY_ENERGYDISK_PURPLE_PICKUPTRIGGERAOE			4
29	200229	ACTIVITYABILITY_ENERGYDISK_BLUE_ELEMENTDMGUPAFTERCRYSTALSHIELD			3
30	200230	ACTIVITYABILITY_ENERGYDISK_BLUE_BUFFAFTERCRYSTALSHIELD			3
31	200231	ACTIVITYABILITY_ENERGYDISK_GREEN_DEFUP			2
32	200232	ACTIVITYABILITY_ENERGYDISK_PURPLE_HEALTHYDAMAGE			4
33	200233	ACTIVITYABILITY_ENERGYDISK_BLUE_HASSHIELDBEHEALTHUP			3
34	200234	ACTIVITYABILITY_ENERGYDISK_GREEN_HEALADDDELTA			2
35	200235	ACTIVITYABILITY_ENERGYDISK_BLUE_EXTRAATKKILLMONSTER			3
36	200236	ACTIVITYABILITY_ENERGYDISK_BLUE_KILLAOEMONSTER			3
37	200237	ACTIVITYABILITY_ENERGYDISK_BLUE_MONSTERNUMATKDEFUP			3
