ID	阶段ID	轮次ID	奖励预览ID	奖励ID	groupID	BUFF数量
1	1	1		3015019	133002499	1
2	1	1		3015020	133002500	1
3	1	1		3015021	133002496	2
4	1	2		3015010	133108179	1
5	1	2		3015011	133108178	1
6	1	2		3015012	133108177	2
7	1	3		3015001	133106002	1
8	1	3		3015002	133106003	1
9	1	3		3015003	133106001	2
10	2	1		3015004	133104185	1
11	2	1		3015005	133104182	1
12	2	1		3015006	133104179	2
13	2	2		3015013	133001608	1
14	2	2		3015014	133001606	1
15	2	2		3015015	133001607	2
16	2	3		3015022	133103005	1
17	2	3		3015023	133103004	1
18	2	3		3015024	133103002	2
19	3	1		3015007	133002503	1
20	3	1		3015008	133002502	1
21	3	1		3015009	133002501	2
22	3	2		3015016	133102127	1
23	3	2		3015017	133102123	1
24	3	2		3015018	133102122	2
25	3	3		3015025	133105005	1
26	3	3		3015026	133105003	1
27	3	3		3015027	133105002	2
