对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID	额外加载标识ID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
80001	2	1	1	1	80001	2																																		5		8000101	96	800																															
80003	2	1	1	1	80003	2																																		5		8000301	96	800																															
200002	2	1		1	200002	2																																		5		20000201	1005	2000																															
200003	2	1		1	200003	2																																		5		20000301	207701,1005	2000																															
200004	2	1		1	200004	2																																		5		20000401	1031,1005,1032	2000																															
200005	2	1		1	200005	2																																		5		20000501	1005,10409																																
200006	2	1		1	200006	2																																		5		20000601	1005,10410,10411																																
200007	2	1		1	200007	2																																		5		20000701	10415,1005	2000																															
200010	2	1		1	200010	2																																		5	200011	20001001	10412,10419,10420,10421,1005																																
200011		1																																						5	200102	20010104	1005,10412																																
200020	2	1		1	99902	3																																		1		20002001	207701	2000																															
200021	2	1	2	1	200009	2				1	200011	2																												1		20002101	1031	2000																															
200022	2	1	2	1	200009	2				1	200011	2																												1		20002201	1032	2000																															
200023	2	1	2	1	200009	2				1	200010	2				1	200101	2				1	200103	2				1	200104	2				1	200106	2				1		20002301	10409																																
200024	2	1	2	1	200009	2				1	200010	2				1	200101	2				1	200103	2				1	200104	2				1	200106	2				1		20002401	10410,10411																																
200101	2	1		1	200101	2																																		5		20010107	1005,10412																																
200102		1																																						5		20010107	1005,10412																																
200103	2	1		1	200103	2																																		5		20010301	1031,1032,1005	2001																															
200104	2	1		1	200104	2																																		5		20010401	10412,1005																																
200106	2	1		1	200106	2																																		5		20010601	10413,1005	2001																															
200107	2	1		1	200107	2																																		5		20010701	10409,1005																																
200108	2	1		1	200108	2																																		5		20010801	1005,10411																																
200109	2	1		1	200109	2																																		5		20010901	1032,1031,1005	2001																															
200111	2	1		1	200111	2																																		5		20011101	1032,1005	2001																															
200113	2	1		1	200113	2																																		5		20011301	1032,1005	2001																															
200120	2	1	1	1	200107	3				41	200202	1																												1		20012001	10409																																
200121	2	1		1	200108	3																																		1		20012101	10411																																
200122	2	1		1	200110	2																																		1		20012201	1031	2001																															
200123	2	1		1	200112	2																																		1		20012301	1032	2001																															
200201	2	1		1	200202	2																																		5		20020101	10412	2002																															
200202	2	1		1	200202	2																																		5		20020201	1031	2002																															
200204	2	1		1	200204	2																																		5		20020401	1031,1005,1032	2002																															
200209	2	1		1	200209	2																																		5		20020901	10414,1032,1005	2002																															
200211	2	1		1	200211	2																																		5		20021101	10414,1032,1005	2002																															
200212	2	1		1	200212	2																																		5		20021201	1005,10412,1032	2002																															
200220	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022001	10409																																
200221	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022101	10416																																
200222	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022201	10417																																
200223	2	1	2	1	200202	2				1	200203	2				1	200204	2																						1		20022301	10418																																
200224	2	1	2	1	200205	2				1	200201	2																												1		20022401	1031	2002																															
200225	2	1	2	1	200205	2				1	200201	2																												1		20022501	10412																																
200226	2	1	2	1	200205	2				1	200201	2																												1		20022601	10409																																
200227	2	1	2	1	200205	2				1	200201	2																												1		20022701	10416,10417																																
200228	2	1	2	1	200205	2				1	200201	2																												1		20022801	10418																																
200229	2	1		1	200212	2																																		1		20022901	214301	2002																															
200230	2	1		1	200202	2																																		1		20023001	1032	2002																															
800001	1	1		1	800001	2																																		5		80000101	1015	8000																															
800002	1	1		1	800004	2																																		5		80000201	10921,10910	8000																															
800003	2	1		1	800008	2																																		5		80000301	10916	8000																															
800004	2	1		1	800009	2																																		5		80000401	10916	8000																															
800101	1	1		1	800101	2																																		5		80010101	1022	8001																															
800102	2	1		1	800103	2																																		5		80010201	1022	8001																															
800103	2	1		1	800105	2																																		5		80010301	1022	8001																															
800104	2	1		1	800107	2																																		5		80010401	1022	8001																															
800105	2	1		1	800108	2																																		5		80010501	1022	8001																															
800201	2	1		1	800202	2																																		5		80020101	1008	8002																															
800202	2	1		1	800205	2																																		5		80020201	1006	8002																															
800203	2	1		1	800211	2																																		5		80020301	1011	8002																															
800204	2	1		1	800209	2																																		5		80020401	1022	8002																															
800205	2	1		1	800210	2																																		5		80020501	1022	8002																															
800206	2	1		1	800202	2																																		5		80020601	1022	8002																															
800207	2	1		1	800208	2																																		5		80020701	1176	8002																															
800301	1	1		1	800301	2																																		5		80030101	1022	8003																															
800302	2	1		1	800305	2																																		5		80030201	1022	8003																															
800303	2	1		1	800307	2																																		5		80030301	1022	8003																															
800304	2	1		1	800308	2																																		5		80030401	1005	8003																															
800305	2	1		1	800310	2																																		5		80030501	1022	8003																															
800306	2	1		1	800311	2																																		5		80030601	1005	8003																															
1012001	1	1		1	1012001	2																																		5		101200101	1006,1005	10120																															
1012002	2	1		1	1012003	2																																		5		101200201	10423,1005	10120																															
1012003	2	1		1	1012005	2																																		5		101200301	1002,1005	10120																															
1012004	2	1		1	1012009	2																																		5		101200401	1029,1005	10120																															
1012006	2	1		1	1012002	2																																		5		101200601	1006	10120																															
1012007	2	1		1	99902	2																																		5		101200701	1663	10120																															
1012008	2	1	2	1	1012002	2				1	1012003	2																												5		101200801	1421	10120																															
1012011	2	1		1	99902	2																																		5		101201101	1002	10120																															
1012101	2	1		1	1012102	2																																		5		101210101	1029,1005	10121																															
1012102	2	1		1	1012103	2																																		5		101210201	10387,1029,1005	10121																															
1012103	2	1		1	1012104	2																																		5		101210301	1029,10388,1005	10121																															
1012104	2	1		1	1012105	2																																		5		101210401	1029,10389,1005	10121																															
1012105	1	1	1	1	1012107	2				44	10120	0																												5		101210501	1005,1029	10121																															
1012106	1	1		1	1012109	2																																		5		101210601	1029,1005	10121																															
1012107	1	1		1	1012112	2																																		5		101210701	1029,1005	10121																															
