层ID	层	关卡组ID	等级	编队数量	5星奖励	10星奖励	15星奖励	3星奖励	6星奖励	9星奖励	星数解锁	地脉异常
1001	1	1	25	1	610001	610021	610041	610001	610021	610041	6	1200
1002	2	2	40	1	610002	610022	610042	610002	610022	610042	6	1201
1003	3	3	45	1	610003	610023	610043	610003	610023	610043	6	1202
1004	4	4	50	1	610004	610024	610044	610004	610024	610044	6	1203
1005	5	5	55	2	610005	610025	610045	610005	610025	610045	6	1306
1006	6	6	60	2	610006	610026	610046	610006	610026	610046	6	1307
1007	7	7	65	2	610007	610027	610047	610007	610027	610047	6	1308
1008	8	8	70	2	610008	610028	610048	610008	610028	610048	6	1309
1009	9	9	72	2	610009	610029	610049	610009	610029	610049	6	1219
1010	10	10	80	2	610010	610030	610050	610010	610030	610050	6	1220
1011	11	11	88	2	610011	610031	610051	610011	610031	610051	6	1221
1012	12	12	95	2	610012	610032	610052	610012	610032	610052	6	1222
1013	9	13	72	2	610009	610029	610049	610009	610029	610049	6	1313
1014	10	14	80	2	610010	610030	610050	610010	610030	610050	6	1314
1015	11	15	88	2	610011	610031	610051	610011	610031	610051	6	1316
1016	12	16	95	2	610012	610032	610052	610012	610032	610052	6	1315
1017	12	17	95	2	610012	610032	610052	610012	610032	610052	6	1363
1018	11	18	88	2	610011	610031	610051	610011	610031	610051	6	1380
1019	12	19	95	2	610012	610032	610052	610012	610032	610052	6	1381
1020	9	20	72	2	610009	610029	610049	610009	610029	610049	6	1313
1021	10	21	80	2	610010	610030	610050	610010	610030	610050	6	1314
1022	11	22	88	2	610011	610031	610051	610011	610031	610051	6	1385
1023	12	23	95	2	610012	610032	610052	610012	610032	610052	6	1381
