关卡ID	组ID	组内序号	地城ID	[评价]1条件	[评价]1参数	[评价]2条件	[评价]2参数	[评价]3条件	[评价]3参数	战前增益ID1	战前增益ID2	战前增益ID3	每日奖励RewardId	首通奖励RewardId	怪物等级
1	1	1	3310	3	1,90	3	1,150	3	1,210	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100		621001	24
2	1	2	3410	3	1,90	3	1,150	3	1,210	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100		621002	24
3	1	3	3510	3	1,90	3	1,150	3	1,210	4:100,23:100,24:100	25:100,28:100,29:100	19:100		621003	24
4	2	1	3311	3	1,60	3	1,90	3	1,180	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100		621004	39
5	2	2	3411	2	234101003,3030,20	2	234101003,3030,40	2	234101003,3030,60	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100		621005	39
6	2	3	3511	3	1,60	3	1,90	3	1,180	4:100,23:100,24:100	25:100,28:100,29:100	19:100		621006	39
7	3	1	3312	3	1,60	3	1,90	3	1,180	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100		621007	44
8	3	2	3412	3	1,60	3	1,90	3	1,180	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100		621008	44
9	3	3	3512	3	1,60	3	1,90	3	1,120	4:100,23:100,24:100	25:100,28:100,29:100	19:100		621009	44
10	4	1	3313	3	1,60	3	1,120	3	1,180	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100		621010	49
11	4	2	3413	2	234103003,3024,20	2	234103003,3024,40	2	234103003,3024,60	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100		621011	49
12	4	3	3513	3	1,60	3	1,90	3	1,120	4:100,23:100,24:100	25:100,28:100,29:100	19:100		621012	49
13	5	1	3341	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,24:100	16:100,35:100,36:100,17:100	6:100,7:100,18:100		621013	54
14	5	2	3441	3	2,90	3	2,180	3	2,240	1:100,2:100,3:100,21:100,24:100	16:100,35:100,36:100,17:100	6:100,7:100,38:100,34:100		621014	54
15	5	3	3541	3	2,180	3	2,300	3	2,420	1:100,2:100,3:100,21:100,24:100	16:100,35:100,36:100,17:100	19:100		621015	54
