排期ID	入口层ID	[排期]1层ID	[排期]1开启时间	[排期]2层ID	[排期]2开启时间	[排期]3层ID	[排期]3开启时间	[排期]4层ID	[排期]4开启时间	结束时间	[月度奖励]1最小星数	[月度奖励]1奖励ID	[月度奖励]2最小星数	[月度奖励]2奖励ID	[月度奖励]3最小星数	[月度奖励]3奖励ID	[月度奖励]4最小星数	[月度奖励]4奖励ID	[月度奖励]5最小星数	[月度奖励]5奖励ID	月纪念奖励	月度增益
1	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-07-01 00:00:00							2020-07-16 03:59:59	40		60		80		100		120			1050
2	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-07-16 04:00:00							2020-08-01 03:59:59	40		60		80		100		120			1050
3	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-08-01 04:00:00							2020-08-16 03:59:59	40		60		80		100		120			1050
4	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-08-16 04:00:00							2020-09-01 03:59:59	40		60		80		100		120			1050
5	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-09-01 04:00:00							2020-09-16 03:59:59	40		60		80		100		120			1050
6	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-09-16 04:00:00							2020-10-01 03:59:59	40		60		80		100		120			1050
7	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-10-01 04:00:00							2020-10-16 03:59:59	40		60		80		100		120			1051
8	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-10-16 04:00:00							2020-11-01 03:59:59	40		60		80		100		120			1051
9	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-11-01 04:00:00							2020-11-16 03:59:59	40		60		80		100		120			1052
10	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-11-16 04:00:00							2020-12-01 03:59:59	40		60		80		100		120			1310
11	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-12-01 04:00:00							2020-12-16 03:59:59	40		60		80		100		120			1311
12	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2020-12-16 04:00:00							2021-01-01 03:59:59	40		60		80		100		120			1312
13	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2021-01-01 04:00:00							2021-01-16 03:59:59	40		60		80		100		120			1317
14	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2021-01-16 04:00:00							2021-02-01 03:59:59	40		60		80		100		120			1318
15	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2021-02-01 04:00:00							2021-02-16 03:59:59	40		60		80		100		120			1319
16	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-02-16 04:00:00							2021-03-01 03:59:59	40		60		80		100		120			1357
17	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-03-01 04:00:00							2021-03-16 03:59:59	40		60		80		100		120			1358
18	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-03-16 04:00:00							2021-04-01 03:59:59	40		60		80		100		120			1359
19	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-04-01 04:00:00							2021-04-16 03:59:59	40		60		80		100		120			1366
20	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2021-04-16 04:00:00							2021-05-01 03:59:59	40		60		80		100		120			1367
21	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2021-05-01 04:00:00							2021-05-16 03:59:59	40		60		80		100		120			1382
22	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2021-05-16 04:00:00							2021-06-01 03:59:59	40		60		80		100		120			1383
23	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2021-06-01 04:00:00							2021-06-16 03:59:59	40		60		80		100		120			1384
24	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2021-06-16 04:00:00							2021-07-01 03:59:59	40		60		80		100		120			1387
25	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2021-07-01 04:00:00							2021-07-16 03:59:59	40		60		80		100		120			1388
26	1001,1002,1003,1004,1005,1006,1007,1008	1020,1021,1022,1023	2021-07-16 04:00:00							2021-08-01 03:59:59	40		60		80		100		120			1389
