场景ID	传送点ID	解锁奖励RewardID	解锁通知groupid	解锁的AreaID
3	3	220311		
3	6	220310		
3	4	220311		
3	5	220311		
3	7	220311		
3	8	220311		
3	10	220311		
3	11	220311		
3	12	220311		
3	13	220311		
3	14	220311		
3	15	220311		
3	29	220311		
3	33	220311		
3	34	220311		
3	35	220311		
3	36	220311		
3	37	220311		
3	57	220311		
3	58	220311		
3	59	220311		
3	60	220311		
3	61	220311		
3	69	220311		
3	72	220311		
3	73	220311		
3	74	220311		
3	75	220311		
3	76	220311		
3	77	220311		
3	78	220311		
3	79	220311		
3	81	220311		
3	82	220311		
3	84	220311		
3	85	220311		
3	86	220311		
3	87	220311		
3	91	220311		
3	92	220311		
3	93	220311		
3	95	220311		
3	96	220311		
3	97	220311		
3	99	220311		
3	100	220311		
3	103	220311		
3	104	220311		
3	105	220311		
3	114	220311		
3	116	220311		
3	121	220311		
3	122	220311		
3	127	220311		
3	128	220311		
3	152	220311		
3	153	220311		
3	154	220311		
3	155	220311		
3	156	220311		
3	162	220311		
3	165	220311		
3	166	220311		
3	167	220311		
3	168	220311		
3	180	220311		
3	181	220311		
3	182	220311		
3	197	220311		
3	200	220311		
3	204	220311		
3	205	220311		
3	206	220311		
3	208	220311		
3	209	220311		
3	210	220311		
3	211	220311		
3	212	220311		
3	213	220311		
3	214	220311		
3	222	220311		
3	225	220311		
3	228	220311		
4	1	220311		
4	2	220311		100
4	3	220311		
4	5	220311		
4	6	220311		
4	8	220311		101
4	9	220311		102
4	10	220311		103
4	28	220311		
4	29	220311		
4	30	220311		
