索引id	第几天开放	投放代币数	区域中心点	区域半径	group列表	修正等级	挖掘点数量列表	挖掘点代币数列表	杂物掉落万分率列表	杂物drop_id	多人挑战group	保底挖掘点group	多人挑战代币阈值	多人挑战类型
1	1	60	1793.1,188.9,-1493.5	100	133001522,133001523,133001521,133001519,133001520,133001524,133001528,133001529,133001527,133001525,133001526,133001518,133001510,133001511,133001509,133001507,133001508,133001512,133001516,133001517,133001515,133001513,133001514	1	3,5,8	20,8,4	250,2500,7250	200020004		133001522,133001523,133001521	40	
2	1	60	-464.5,161.4,1188	100	133106397,133106398,133106396,133106394,133106395,133106402,133106403,133106401,133106399,133106400,133106387,133106388,133106386,133106384,133106385,133106392,133106393,133106391,133106389,133106390	1	3,5,8	20,8,4	250,2500,7250	200020004		133106397,133106398,133106396	40	
3	2	60	2547.9,211.3,-1337.7	120	133003774,133003775,133003776,133003773,133003769,133003771,133003772,133003777,133003782,133003783,133003784,133003781,133003778,133003779,133003780,133003758,133003759,133003760,133003757,133003754,133003755,133003756,133003761,133003766,133003767,133003768,133003765,133003762,133003763,133003764	1	3,5,8	20,8,4	250,2500,7250	200020004		133003774,133003775,133003776	40	
4	2	60	351.5,215.3,213.8	120	133104073,133104078,133104080,133104070,133104059,133104067,133104069,133104082,133104087,133104088,133104089,133104086,133104083,133104084,133104085,133104035,133104036,133104038,133104033,133104001,133104030,133104032,133104039,133104052,133104055,133104056,133104050,133104047,133104048,133104049	1	3,5,8	20,8,4	250,2500,7250	200020004	133104121	133104073,133104078,133104080	40	1
5	3	60	381.5,177.7,879.7	120	133104091,133104093,133104094,133104096,133104099,133104100,133104101,133104102,133104104,133104105,133104106,133104107,133104108,133104109,133104111,133104114,133104115,133104116,133104117,133104118,133104119,133104120	1	3,5,8	20,8,4	250,2500,7250	200020004		133104091,133104093,133104094	40	
6	3	60	2022,208.6,-1522.4	100	133001531,133001532,133001533,133001534,133001535,133001536,133001537,133001538,133001539,133001540,133001541,133001542,133001543,133001544,133001545,133001546,133001547,133001548,133001549,133001550,133001551,133001552,133001553,133001554,133001555,133001556,133001557,133001558,133001559,133001560,133001561,133001562,133001563,133001564	1	3,5,8	20,8,4	250,2500,7250	200020004	133001565	133001531,133001532,133001533	40	1
7	4	60	760.8,212.4,-217.8	100	133105306,133105307,133105308,133105309,133105310,133105311,133105312,133105313,133105314,133105315,133105316,133105317,133105318,133105319,133105320,133105321,133105322,133105323,133105324,133105328,133105329,133105330,133105331,133105332	1	3,5,8	20,8,4	250,2500,7250	200020004		133105306,133105307,133105308	40	
8	4	60	2962.9,212.6735,262.4	100	133007283,133007284,133007285,133007280,133007281,133007282,133007289,133007290,133007291,133007286,133007287,133007288,133007271,133007272,133007273,133007268,133007269,133007270,133007277,133007278,133007279,133007274,133007275,133007276	1	3,5,8	20,8,4	250,2500,7250	200020004	133007292	133007283,133007284,133007285	40	2
9	5	60	599.9,223.9,1701.4	110	133103590,133103589,133103588,133103593,133103592,133103591,133103584,133103583,133103582,133103587,133103586,133103585,133103594,133103603,133103602,133103601,133103606,133103605,133103604,133103597,133103596,133103595,133103600,133103599,133103598	1	3,5,8	20,8,4	250,2500,7250	200020004		133103590,133103589,133103588	40	
10	5	60	1449.9,317,-2033.7	100	133005026,133005025,133005024,133005023,133005022,133005021,133005020,133005019,133005018,133005017,133005016,133005015,133005014,133005013,133005012,133005011,133005010,133005009,133005008,133005007,133005006,133005005,133005004,133005003,133005002	1	3,5,8	20,8,4	250,2500,7250	200020004	133005027	133005026,133005025,133005024	40	2
11	6	60	1712.4,233.9,-769.4	100	133002458,133002457,133002460,133002459,133002454,133002453,133002456,133002455,133002461,133002467,133002466,133002469,133002468,133002463,133002462,133002465,133002464,133002452,133002440,133002439,133002442,133002441,133002436,133002435,133002438,133002437,133002443,133002449,133002448,133002451,133002450,133002445,133002444,133002447,133002446	1	3,5,8	20,8,4	250,2500,7250	200020004		133002458,133002457,133002460	40	
12	6	60	162.4,179.5,1205.7	120	133103636,133103635,133103634,133103616,133103615,133103614,133103619,133103618,133103617,133103613,133103609,133103608,133103607,133103612,133103611,133103610,133103620,133103630,133103629,133103628,133103633,133103632,133103631,133103627,133103623,133103622,133103621,133103626,133103625,133103624	1	3,5,8	20,8,4	250,2500,7250	200020004	133103639	133103636,133103635,133103634	40	3
13	7	60	-337.1,195.6,-748	180	133108160,133108159,133108158,133108163,133108162,133108161,133108154,133108153,133108152,133108157,133108156,133108155,133108172,133108171,133108170,133108175,133108174,133108173,133108166,133108165,133108164,133108169,133108168,133108167	1	3,5,8	20,8,4	250,2500,7250	200020004		133108160,133108159,133108158	40	
14	7	60	1517.169,188.6,1232.643	120	133101216,133101217,133101218,133101219,133101220,133101221,133101222,133101223,133101224,133101225,133101226,133101227,133101228,133101229,133101230,133101231,133101232,133101233,133101234,133101235,133101236,133101237,133101238,133101239,133101240,133101241,133101242,133101243,133101244,133101245	1	3,5,8	20,8,4	250,2500,7250	200020004	133101247	133101216,133101217,133101218	40	3
