ID	树木配置名称	树木类型
1	Area_Ljxs_Tree_Common_Birchtree01_Lod0	1
2	Area_Ljxs_Tree_Common_Pt_01_NoSnow_Lod0	3
3	Tree_Area_Ljxs_Tree_Common_Pt_01_Lod0	3
4	Tree_Area_Ljxs_Tree_Common_Pt_02_Lod0	3
5	Tree_Area_Ljxs_Tree_Common_Pt_03_Lod0	3
6	Tree_Area_Ljxs_Tree_Common_Pt_04_Lod0	3
7	Tree_Area_Ly_Tree_Common_Gg_02_Lod0	4
8	Tree_Area_Ly_Tree_Common_Gg_03_Lod0	4
9	Tree_Area_Ly_Tree_Common_Gg_06_Lod0	4
10	Tree_Area_Ly_Tree_Common_Pt_01_Lod0	3
11	Tree_Area_Ly_Tree_Common_Pt_02_Lod0	3
12	Tree_Area_Ly_Tree_Common_Pt_03_Lod0	3
13	Tree_Area_Ly_Tree_Common_Pt_05_Lod0	3
14	Tree_Area_Ly_Tree_QC_Bamboo_01_Lod0	5
15	Tree_Area_Ly_Tree_QC_Bamboo_02_Lod0	5
16	Tree_Area_Ly_Tree_QC_Bamboo_03_Lod0	5
17	Tree_Area_Ly_Tree_QC_Bamboo_04_Lod0	5
18	Tree_Stages_AppleTree01_Vo	2
19	Tree_Stages_Birchtree01_Fin	1
20	Tree_Stages_CyPinetree01_Fin	3
21	Tree_Stages_CyPinetree02_Fin	3
22	Tree_Stages_CyPinetree03_Fin	3
23	Tree_Stages_CyTree01_Fin	7
24	Tree_Stages_CyTree02_Fin	7
25	Tree_Stages_CyTree03_Fin	7
26	Tree_Stages_CyTree04_Fin	7
27	Tree_Stages_CyTree05_Fin	7
28	Tree_Stages_FirTree01_Fin	8
29	Tree_Stages_FirTree02_Fin	8
30	Tree_Stages_FirTree03_Fin	8
31	Tree_Stages_Fleur_CyPineTree_01_Fin	3
