活动排期id	试用角色ID1	试用角色ID2	试用角色ID3	试用角色ID4	试用角色ID5	试用角色奖励1	试用角色奖励2	试用角色奖励3	试用角色奖励4	试用角色奖励5
5002001	1	2	3			480001	480002	480003		
5002002	4	5	6			480001	480002	480003		
5002003	7	12	9	13		480001	480002	480003	480004	
5002004	11	8	14	10		480001	480002	480003	480004	
5002005	16	18	19	20		480001	480002	480003	480004	
5002006	15	17				480001	480002			
5002007	22	31	24	25		480001	480002	480003	480004	
5002008	21	27	28			480001	480002	480003		
5002009	1	19	14			480001	480002	480003		
5002010	7	29	18			480001	480002	480003		
5002011	30	23	26			480001	480002	480003		
5002012	11	32	31			480001	480002	480003		
5002013	33	25	27	24		480001	480002	480003	480004	
5002014	4	19	18			480001	480002	480003		
5002015	34	29	26	14		480001	480002	480003	480004	
