ID	JSON天气区域ID	最大高度	描述	GadgetID	默认是否开启	TemplateName	Priority	区域环境配置	DefaultWeather	是否固定使用DefaultWeather	场景ID
1	1		新手区	70020001	1	Weather_Sunny	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	1	3
2	2		风魔龙附近	70020002	1	Weather_WindDragon	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_WindDragon	2	1	3
3	3		蒙德城一阶段	70020003	0	Weather_MengDeInStorm	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_City_Storm	1	1	3
4	4		北风狼boss天气		1	Weather_Standard	100	Data/Environment/EnviroSystemProfile/Monster/ESP_Monster_LupiBoreas	2	1	3
1000	1000		蒙德地区默认天气		1	Weather_Standard	5	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	0	3
1001	1001		蒙德东		1	Weather_Standard	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	0	3
1002	1002		丘丘圣山+誓言岬		1	Weather_Standard	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	0	3
1003	1003		酒庄		1	Weather_Standard	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	0	3
1004	1004		风龙外围		1	Weather_Standard	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	0	3
1005	1005		剑冢任务天气		1	Weather_Standard	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	0	3
1006	1006		蒙德城天气		1	Weather_City	25	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_General	1	0	3
1007	1007		望风山地天气		1	Weather_WindDragon	2000	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_WindDragon	2	1	3
1008	1008		风花节活动蒙德城天气		0	Weather_City	2000	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Md_City_Fenghuajie	1	0	3
2000	2000		璃月地区默认天气		1	Weather_Standard	5	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	1	0	3
2001	2001		轻策山天气		1	Weather_LiYueAreaQingCeVilla	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_QingCeVilla	1	0	3
2002	2002		花洲天气		1	Weather_Standard	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	1	0	3
2003	2003		璃月平原天气		1	Weather_Standard	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	1	0	3
2004	2004		石林天气		1	Weather_StoneNeedles	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_StoneNeedles	1	1	3
2005	2005		璃月港天气		1	Weather_City	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_City_General	1	0	3
2006	2006		瑶光滩初始天气		1	Weather_Foggy	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	6	1	3
2007	2007	250	陆湖迷宫天气		1	Weather_Sunny	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_LandLakeMaze	1	1	3
2107	2007	265	陆湖迷宫天气		1	Weather_Sunny	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_LandLakeMaze	1	1	3
2207	2007		陆湖迷宫天气		1	Weather_Sunny	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_LandLakeMaze_Lv2	1	1	3
2008	2008		矿山外围区域天气		1	Weather_Standard	10	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_LiShaCountrySide	1	0	3
2009	2009		瑶光滩后续天气		0	Weather_LiYueAreaYaoGuangTan	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	6	0	3
2010	2010		轻策山遗迹天气		1	Weather_LiYueAreaQingCeVilla	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_QingCeVilla	1	0	3
2011	2011		冲刷平原矿区天气		1	Weather_Standard	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_BeachMine	1	1	3
2012	2012		鬼森林天气		1	Weather_Sunny	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_BlackFroest	1	1	3
2013	2013	189	地中之盐天气		1	Weather_Sunny	2000	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_SaltOfGround	1	1	3
2113	2013		地中之盐天气		1	Weather_Standard	2000	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	1	0	3
2014	2014	240	轻策之藏天气		1	Weather_Sunny	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_Treasure	1	1	3
2114	2014		轻策之藏天气		1	Weather_LiYueAreaQingCeVilla	100	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_QingCeVilla	1	0	3
2015	2015	170	靖世九柱天气下层		1	Weather_Sunny	90	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_NinePillars_Tomb	1	0	3
2115	2015		靖世九柱天气上层阴天		1	Weather_NinePillarsGeneral	90	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_NinePillars_General	1	0	3
2016	2016	170	靖世九柱天气下层（未使用）		1	Weather_Sunny	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_NinePillars_Tomb	1	0	3
2116	2016		靖世九柱天气上层转晴（未使用）		1	Weather_Standard	50	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_NinePillars_General	1	0	3
2017	2017	215	蒙德急冻树boss天气		1	Weather_Sunny	2000	Data/Environment/EnviroSystemProfile/Monster/ESP_Monster_Regisvine_Ice_01	1	1	3
2117	2017		蒙德急冻树boss天气		1	Weather_Standard	2000	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	1	0	3
2018	2018	220	璃月爆炎树boss天气		1	Weather_Sunny	2000	Data/Environment/EnviroSystemProfile/Monster/ESP_Monster_Regisvine_Fire_01	1	1	3
2118	2018		璃月爆炎树boss天气		1	Weather_Standard	2000	Data/Environment/EnviroSystemProfile/BigWorld/ESP_Ly_General	1	0	3
