MaterialID	他人世界可用	Room可用	Scene4可用	死亡可用	限制区域可用	战斗可用	非正常Move可用	瞄准可用	地城可用	深渊可用	家园可用	载具限制	受循环营地约束	循环营地id列表	屏蔽地城列表
220001	1	0	1	0	0	0	0	0	0	0	0				
220002	1	0	1	0	0	0	0	0	0	0	0				
220003	0	0	1	0	0	0	0	0	0	0	0				
220004	1	0	1	0	0	0	0	0	1	0	1				
220005	0	0	0	0	0	0	0	0	0	0	0				
220006	1	0	1	0	0	0	0	0	1	0	0				5310
220008	1	1	1	0	1	1	1	1	1	0	1				7100,7101,7102,7103,7104,7105
220009	0	0	1	0	0	0	0	0	0	0	0				
220013	1	0	1	0	0	0	0	0	0	0	0				
220014	1	1	1	0	1	0	0	0	1	0	1				
220015	1	1	1	0	1	0	0	0	1	0	1				
220016	1	1	1	0	1	0	0	0	1	0	1				
220017	1	0	1	0	1	1	0	0	1	0	1				
220018	1	1	1	1	1	1	1	1	0	0	1				
220019	1	1	1	1	1	1	1	1	0	0	1				
220020	1	1	1	1	1	1	1	1	0	0	1				
220021	1	0	1	0	0	0	0	0	0	0	0				
220022	1	0	1	0	0	1	0	0	0	0	0				
220023	1	1	1	0	1	0	0	0	1	0	1				
220024	1	1	1	0	0	0	0	0	1	0	0				
220025	1	1	1	0	0	0	0	0	0	0	1				
220026	0	0	1	0	0	0	0	0	0	0	1				
220027	1	0	1	0	0	1	0	0	0	0	0				
220028	1	0	1	0	0	1	1	0	0	0	0	1			
220029	1	0	1	0	0	1	0	0	0	0	0		1	17	
220030	1	0	1	0	0	1	0	0	0	0	0		1	17	
220031	1	0	1	0	0	1	0	0	0	0	0		1	17	
