提示台词ID	停留显示时长
1003	4
1004	5
1105001	1
1105002	1
1106001	1
1106002	1
1106003	1
1107001	6
1107002	6
1107003	6
1109001	15
1109002	3
1109004	5
1109005	3
1109006	5
1109007	5
1109008	5
1109009	5
1109010	5
1109011	5
1109012	5
1109013	5
1109014	5
1109015	5
1109016	5
1109017	5
1110004	3
1110005	3
1110006	3
1110007	3
1110008	3
1110009	3
1110010	3
1110011	3
1110012	3
1110013	3
1110014	3
1110015	3
1110016	3
1110017	3
1110018	3
1110019	3
1110020	3
1110021	3
1110022	3
1110023	3
1110024	3
1110025	3
1110026	3
1110027	3
1110028	3
1110029	3
1110030	3
1110031	3
1110032	3
1110033	3
1110034	3
1110100	3
1110101	3
1110102	3
1110103	3
1110104	3
1110035	3
1110038	3
1110039	3
1110042	3
1110036	3
1110037	3
1110040	3
1110041	3
1110043	3
1120001	3
1120002	3
1120003	3
1120004	3
1120005	3
1110044	3
1110045	3
1110046	3
1110070	3
1110071	3
1110051	2
1110052	3
1110053	3
1110054	2
1110055	3
1110056	3
1110057	2
1110058	3
1110059	3
1110061	2
1110062	3
1110063	3
1110072	3
1110073	3
1110064	2
1110065	3
1110066	3
1110074	3
1110075	3
1110076	3
1110077	3
1110078	3
1110079	3
1110080	3
1110081	3
1110082	3
1110083	3
1110084	3
1110085	3
1110086	3
1110087	3
1110088	3
1110089	3
1110090	3
1110091	3
1110092	3
1110093	3
1110094	3
1110095	3
1110096	3
1110097	3
1110098	3
1110099	3
1110105	3
1110106	3
1110107	3
1110108	3
1110109	3
1110110	3
1110111	3
1110112	2
1110113	2
1110114	2
1110115	2
1110116	2
1110117	2
1110118	3
1110119	3
1110120	3
1110121	3
1110122	3
1110123	3
1110124	3
1110125	3
1110126	3
1110127	3
1110128	3
1110129	3
1110130	3
1110131	3
1110132	3
1110133	3
1110134	3
1110135	3
1110136	3
1110137	3
1110138	3
1110139	3
1110140	3
1110141	3
1110142	3
1110143	3
1110144	3
1110145	3
1110146	3
1110047	3
1110048	3
1110049	3
1110147	3
1110148	3
1110149	3
1110150	3
1110151	3
1110152	3
1110153	3
1110154	3
1110155	3
1110156	3
1110157	3
1110158	3
1110159	3
1110160	3
1110161	3
1110162	3
1110163	3
1110164	3
1110165	3
1110166	3
1110167	3
1110168	3
1110169	3
1110170	3
1110171	3
1110172	3
1110173	3
1110174	3
1110175	3
1110176	3
1110177	3
1110178	3
1110179	3
1110180	3
1110181	5
1110182	3
1110183	3
1110184	3
1110186	3
1110187	3
1110188	3
1110189	3
1110190	3
1110191	3
1110192	3
1110193	3
1110194	3
1110195	3
1110196	3
1110197	3
1110198	5
1110199	3
1110200	4
1110201	3
1110202	3
1110203	4
1110204	3
1110205	3
1110206	3
1110207	3
1110208	3
1110209	3
1110210	3
1110211	3
1110212	3
1110213	3
1110214	4
1110215	3
1110216	3
1110217	5
1110218	4
1110219	4
1110220	4
1110221	4
1110222	4
1110223	4
1110224	4
1110225	4
1110226	4
1110227	4
1110228	4
1110229	4
1110230	4
1110231	4
1110232	4
1110233	4
1110234	4
1110235	4
1110236	3
1110237	4
1110238	4
1110239	4
1110240	4
1110241	4
1110242	4
1110243	4
1110244	4
1110245	4
1110246	4
1110247	4
1110248	4
1110249	4
1110250	4
1110251	4
1110252	4
1110253	4
1110254	4
1110255	4
1110256	4
1110257	4
1110258	4
1110259	4
1110260	4
1110261	4
1110262	4
1110263	4
1110264	4
1110265	4
1110266	4
1110267	4
1110268	4
1110269	4
1110270	4
1110271	4
1110272	4
1110273	4
1110274	4
1110275	4
1110276	4
1110277	4
1110297	4
1110298	4
1110299	4
1110300	4
1110301	4
1110302	4
1110303	4
1110304	4
1110313	2
1110314	2
1110315	2
1110316	2
1110320	3
1110321	3
1110322	3
1110323	3
30020101	5
30020102	5
30020103	7
30020104	2
30020111	2
30020112	3
30020113	4
30020114	4
30020115	7
30020121	2
30020122	3
30020201	3
30020202	3
30080301	3
30080201	3
30080202	3
30080203	3
30080204	3
30080205	3
30080206	3
30080207	3
31060101	5
31060102	5
31050101	5
31050201	5
31050202	5
31050203	5
31050204	5
31050205	5
31050206	5
31050207	5
31050208	5
31050209	5
31050210	5
31050211	5
31050212	5
31050213	5
31050214	5
31050215	5
31050216	5
31050217	5
31050218	5
31050219	5
31050220	5
31050221	5
31040101	5
31040102	5
31040103	5
31040104	5
31040110	5
31040111	5
31040112	5
31040113	5
31040121	5
31040122	5
31040120	5
31040123	5
31040131	5
31040132	5
31040133	5
31040134	5
31040135	5
31040141	5
31040142	5
31040143	5
31040150	5
31040160	5
31040170	5
31040190	5
31040195	5
31040204	5
31040205	5
31040206	5
31040191	5
31040196	5
31040192	5
31040197	5
31040193	5
31040194	5
31040198	5
31040199	5
31040200	5
31040201	5
31040202	5
31040203	5
31040301	5
31040302	5
31040303	5
31040401	5
31040402	5
31040403	5
31040501	5
31040503	5
31040504	5
31040502	5
31040505	5
31040506	5
31040507	5
31040508	5
31040509	5
31040510	5
31040511	3
31040512	5
31040513	5
31040514	5
31040515	5
31040601	5
31040602	5
31040603	5
31040701	5
31040702	5
31040703	5
31040704	5
31040705	5
31040706	5
31020102	5
31020103	5
31020104	5
31020105	5
31020106	5
31020107	5
31020108	5
31020109	5
31020110	5
31020201	5
31020202	5
31020301	5
31020401	5
31020501	5
31020502	5
31020601	5
31020602	5
31020603	5
31020604	5
31020605	5
31020606	5
31020607	5
31020701	3
31020702	3
31020703	3
31020704	3
31020801	2
31020802	2
31020803	3
31020804	3
31020805	3
31020806	3
31020807	3
31020808	2
31020809	2
31020810	2
31020812	3
31020813	3
31020814	3
31020815	3
31020816	3
31020817	3
31020818	3
31020819	3
31020820	3
31020821	3
31020822	3
31020823	3
31020824	3
31020825	3
31020826	3
31020827	3
31020828	3
31020829	5
31020830	5
31020831	5
31020840	3
31020841	3
31020842	3
31020843	3
31020844	2
31020845	2
31020846	2
31020847	3
31020848	2
31020849	2
31020850	2
31020851	5
31020852	5
31020853	5
31020854	5
31020855	5
31020856	5
31020857	5
31020858	5
31020859	5
31020860	5
31020861	5
31020862	5
31044401	5
31044402	5
31044403	5
31044404	5
31044405	5
31030001	5
31030002	5
31030011	5
31030012	5
31030013	5
31030014	5
31030015	5
31030016	5
31030017	5
31030018	5
31030201	3
31010101	3
31010102	3
31010103	3
31010201	3
31010202	3
31010301	3
31010302	3
31020001	3
31020002	3
31020003	6
31020004	5
31020005	5
31020006	5
31020007	5
31020008	5
31020009	3
31020010	4
31020011	5
31020012	5
31020013	5
31020014	5
31020015	5
30010001	5
30010101	5
30030001	5
31080001	5
30030002	5
30030003	5
31040001	5
31040002	5
